id_producto,categoria,producto,unidad,medida
101,Lácteos,Leche evaporada 400g,unidad,400g
102,Panadería,Pan francés (bolsa 6),bolsa,6 unidades
103,Frutas,Plátano (kg),kg,kg
104,Verduras,Papa (kg),kg,kg
105,Carnes,Pechuga de pollo (kg),kg,kg
106,Abarrotes,Arroz (kg),kg,kg
107,Aseo,Detergente líquido 1L,unidad,1L
108,Bebidas,Agua mineral 1.5L,botella,1.5L
109,Snacks,Galletas (paquete),paquete,200g
110,Lácteos,Yogur natural 125g,unidad,125g
111,Verduras,Tomate (kg),kg,kg
112,Bebidas,Jugo (litro),litro,litro
113,Abarrotes,Café (paquete),paquete,500g
114,Bebidas,Té (paquete),paquete,100g
115,Abarrotes,Harina (kg),kg,kg
116,Abarrotes,Sal (kg),kg,kg
117,Condimentos,Mayonesa (frasco),frasco,400g
118,Condimentos,Ketchup (frasco),frasco,400g
119,Abarrotes,Lentejas (kg),kg,kg
120,Aseo,Shampoo (frasco),frasco,400ml
121,Aseo,Papel higiénico (paquete),paquete,4 unidades
122,Lácteos,Queso (kg),kg,kg
123,Frutas,Manzana (kg),kg,kg
124,Abarrotes,Frijoles (kg),kg,kg
125,Verduras,Cebolla (kg),kg,kg
126,Conservas,Atún (lata),lata,170g
127,Condimentos,Aceite (litro),litro,litro
128,Abarrotes,Azúcar (kg),kg,kg
129,Carnes,Pescado bonito (kg),kg,kg
130,Lácteos,Queso fresco (kg),kg,kg
131,Condimentos,Aceite vegetal 1L,litro,1L
132,Verduras,Papa blanca (kg),kg,kg
133,Snacks,Galletas paquete 6u,paquete,6 unidades
134,Abarrotes,Azúcar rubia (kg),kg,kg
